id,Abstract_cleaned
6098,"If local circumstances can generate local social trends, it follows that global circumstances can generate global trends. Furthermore, modern global circumstances match the conditions used to create artificial evolutionary systems. If it is possible for evolutionary forces to arise in global society, then it is possible that key forces shaping global society are evolutionary in nature. We can experimentally test for the possibility of evolutionary forces in global society by using a multi-agent simulation. This paper presents a simulation programmed to capture the evolutionary prerequisites observed in global society. Trends arising from this simulation are tested against three known trends and three assumed trends arising from global society. The results from this experiment support the hypothesis that a wealth aggregation evolutionary imperative is shaping key trends in global society."
372,"The Covid-19 pandemic brought unprecedented changes to business ownership in the UK which affects a generation of entrepreneurs and their employees. Nonetheless, the impact remains poorly understood. This is because research on capital accumulation has typically lacked high-quality, individualized, population-level data. We overcome these barriers to examine who benefits from economic crises through a computationally orientated lens of firm creation. Leveraging a comprehensive cache of administrative data on every UK firm and all nine million people running them, combined with probabilistic algorithms, we conduct individual-level analyzis to understand who became Covid entrepreneurs. Using these techniques, we explore characteristics of entrepreneurs—such as age, gender, region, business experience, and industry—which potentially predict Covid entrepreneurship. By employing an automated time series model selection procedure to generate counterfactuals, we show that Covid entrepreneurs were typically aged 35–49 (40.4%), men (73.1%), and had previously held roles in existing firms (59.4%). For most industries, growth was disproportionately concentrated around London. It was therefore existing corporate elites who were most able to capitalize on the Covid crisis and not, as some hypothesized, young entrepreneurs who were setting up their first businesses. In this respect, the pandemic will likely impact future wealth inequalities. Our work offers methodological guidance for future policymakers during economic crises and highlights the long-term consequences for capital and wealth inequality."
5035,"We consider the diffusion of new products in the discrete Bass-SIR model, in which consumers who adopt the product can later ""recover"" and stop influencing their peers to adopt the product. To gain insight into the effect of the social network structure on the diffusion, we focus on two extreme cases. In the ""most-connected"" configuration, where all consumers are interconnected (complete network), averaging over all consumers leads to an aggregate model, which combines the Bass model for diffusion of new products with the SIR model for epidemics. In the ""least-connected"" configuration, where consumers are arranged in a circle and each consumer can be influenced only by the neighbor to the left (one-sided 1D network), averaging over all consumers leads to a different aggregate model which is linear and can be solved explicitly. We conjecture that for any other network, the diffusion is bounded from below and from above by that on a one-sided 1D network and on a complete network, respectively. When consumers are arranged in a circle and each consumer can be influenced by the neighbors to the left and right (two-sided 1D network), the diffusion is strictly faster than on a one-sided 1D network. This is different from the case of nonrecovering adopters, where the diffusion on one-sided and two-sided 1D networks is identical. We also propose a nonlinear model for recoveries and show that consumers' heterogeneity has a negligible effect on the aggregate diffusion."
71,"Eradicating extreme poverty and inequality are the key leverage points to achieve the seventeen Sustainable Development Goals (SDGs). However, the reduction of extreme poverty and inequality remains vulnerable to shocks such as pandemics and climate change. Numerous models have been developed to examine the complex social interactions giving rise to inequality and persistent poverty, yet few approaches include multilevel dynamics. Here, we introduce a heterogeneous agent-based model to identify conditions underlying poverty traps at different levels, which manifest as distinct statistical steady-state outcomes. We find that vulnerabilities emerge from the interaction between individual and institutional mechanisms. Individual characteristics like risk aversion, attention, and saving propensity can lead to sub-optimal diversification and low capital accumulation. These individual drivers are reinforced by institutional mechanisms such as lack of financial inclusion, access to technology, and economic segregation, leading to persistent inequality and poverty traps. Our experiments demonstrate that addressing the above factors yields a “double dividend”—reducing poverty and inequality within and between communities and creating positive feedback that can withstand shocks. Finally, we demonstrate that our theoretical model can be used as a sandbox for cost-benefit analysis of intervention strategies."
2102,"Advancing the transition towards more sustainable agriculture requires policy interventions that support farmers' adoption of sustainable practices. Models can support policy-makers in developing and testing interventions. For these models to provide reliable support, their underlying assumptions need to reflect reality and hence adequately represent human decision-making. This study compares several approaches that represent human decision-making. The comparison is applied to farmers' decision to adopt agroforestry. An agent-based simulation model is calibrated to a case study in rural Rwanda, where socio-economic survey data was collected from 145 small-scale farmers. Of these farmers, 72 were randomly selected to participate in a role-playing game, during which the players decided about adopting agroforestry. The game was conducted to validate the tested decision-making approaches. The simulations show that the decision-making approaches predict significantly different agroforestry adoption rates. Compared with the role-playing game, the Theory of Planned Behaviour exhibits the highest validity. Rational choice theory and the econometric approach overestimate implementation. Bounded rationality approaches underestimate the share of adopters. The results highlight the importance of adequately representing farmers' adoption decisions in models for providing reliable forecasts and effective policy support."
2572,"Opinion dynamics investigate the spreading and evolution of opinions among a set of individuals. This is especially relevant in decision-making — the process of selecting an alternative from a set of possible options —, that is commonly based on personal opinions which may evolve along time. In this work, we present a model of opinion dynamics where opinions are represented using fuzzy linguistic 2-tuples, a realistic representation of imprecise information. In our framework, the propagation of opinions in the communication is divided into three independent sub-processes. Additionally, we use a social network to represent agents’ interactions and an awareness deactivation mechanism to model the awareness dynamics in the system (i.e., options for which agents have opinions). Our opinion dynamics model can be easily integrated into an agent-based system to how opinions spread and evolve. Experimental results show the impact of the communication processes, the social network topology, the awareness deactivation mechanism, and the agents’ influence on the opinion dynamics of others. Furthermore, we present two case studies of our opinion dynamics model applied to marketing and politics."
8542,"Numerous ecosystems, ranging from coral reefs, and forests to deserts and lakes have been shown to possess alternative stable states. This phenomenon has obvious important implications for management, as it may imply unexpected collapse of the system and large resistance to restoration efforts. In this paper we show that alternative attractors also have important consequences from the technical modelers' point of view. Performing a Monte-Carlo uncertainty analysis with an existing individual-based simulation model for macrophyte growth, we found that the uncertainty in the model results may be remarkably high under some conditions. We demonstrate that this high uncertainty is caused by the alternative stable states of the model: if the noise on the parameters exceeds a critical threshold, the model uncertainty can increase steeply, due to switches to the other equilibrium. Such amplification of sensitivity is restricted to certain regions of the parameter space and depends on the initial state of the model. In the vicinity of catastrophical bifurcation points, uncertainty approaches infinity as even tiny parameter changes may cause a switch to the other equilibrium."
5006,"Although with some reluctance, social sciences now seem to have accepted the challenge deriving from the growing digitisation of communication and the consequent flow of data on the web. There are actually various empirical studies that use the digital traces left by the myriads of interactions that occur through social media and e-commerce platforms, and this trend also concerns the research in the PCST field. However, the opportunity offered by the digitisation of traditional mass media communication — the newspapers in particular — is much less exploited. Building on the experience of the TIPS project, this paper discusses the advantages and the limits of computational social science on PCST using newspapers as the main source of data. Some methodological issues are also addressed, in order to suggest a more aware use of such data and the several computational tools available for analysing them."
2838,"Governments, policy makers, and officials around the globe are working to mitigate the effects of the COVID-19 pandemic by making decisions that strive to save the most lives and impose the least economic costs. Making these decisions require comprehensive understanding of the dynamics by which the disease spreads. In traditional epidemiological models, individuals do not adapt their contact behavior during an epidemic, yet adaptive behavior is well documented (i.e., fear-induced social distancing). In this work we revisit Epstein’s “coupled contagion dynamics of fear and disease” model in order to extend and adapt it to explore fear-driven behavioral adaptations and their impact on efforts to combat the COVID-19 pandemic. The inclusion of contact behavior adaptation endows the resulting model with a rich dynamics that under certain conditions reproduce endogenously multiple waves of infection. We show that the model provides an appropriate test bed for different containment strategies such as: testing with contact tracing and travel restrictions. The results show that while both strategies could result in flattening the epidemic curve and a significant reduction of the maximum number of infected individuals; testing should be applied along with tracing previous contacts of the tested individuals to be effective. The results show how the curve is flattened with testing partnered with contact tracing, and the imposition of travel restrictions."
6947,"Negotiation is an important activity most related to the decision-making process in the field of agricultural e-commerce. It involves the interaction between different business partners in the agricultural marketplace, and usually goes through a number of rounds. Similar to the negotiation process in the real world, software agent working in the virtual environment performs intelligent negotiations in this way. Focusing on negotiation problem in agricultural electronic commerce, this paper proposes an agent-based intelligent negotiation system in the environment of agricultural electronic commerce. The aim of it is to implement interactions between agents and guarantees the profits of the participants for reciprocity. First, an adaptive negotiation model based on artificial neural network is proposed to generate sequential offers in the negotiation processes. With the negotiation model, software agents can negotiation with each other over a set of different issues of a product on behalf of the real-world parties they represent. Based on it, the experiments have been conducted to evaluate the performance of the proposed negotiation model. The results show the efficiency and potential of the system toward the future agricultural electronic marketplace."
3462,"The Internet of Things (IoT) has become increasingly influential, particularly because of the significant new developments in the technologies of big data, cloud computing, 5G, and artificial intelligence. In this paper, we briefly explain how these new developments in the IoT may create a new electronic commerce landscape and opportunities associated with it; these developments pose interesting questions for future research."
1153,"As a key component of the balancing market, balance settlement links the physical layer of electricity balance with financial fund equilibrium. Imbalance funds pertain to costs that emerge from the balancing settlement process and, lacking a clearly defined responsible entity, require distribution or reimbursement among market participants. Under the current dual-track market system in China, the issue of imbalance funds has become increasingly prominent. The allocation of these funds is crucial, directly impacting the revenue of these participants and playing a pivotal role in ensuring a fair and efficient market. In this context, this paper, integrating the current dual-track electricity market environment in China, establishes a comprehensive framework to understand the balancing settlement process. Its aim is to explore effective methods for designing imbalance fund allocation mechanisms. Viewing through the lens of balancing service providers, the paper introduces an agent-based model for the balancing market. This model is proficient in capturing the complex dynamics of market behaviors and the resulting imbalance funds during the settlement process. Grounded in existing market regulations and the progressive evolution of China's spot market, the paper meticulously crafts various scenarios with unique imbalance fund allocation mechanisms. It demonstrates that a well-considered allocation mechanism can significantly enhance the efficiency of balancing market operations and reduce the overall costs of system balancing. Hopefully, the proposed framework and method will provide beneficial support and reference for the formulation of related policies and the design of market settlement mechanisms."
3136,"Several independent assessments have identified rare earth elements (REEs) as critical materials, notably neodymium (Nd), praseodymium (Pr), and dysprosium (Dy) used in permanent magnets. Factors affecting their criticality include expected growth in demand arising from their unique performance-enhancing properties in consumer, energy, and military applications and the supply risk associated with China's dominance in their production. We demonstrate the use of Argonne's Global Critical Materials (GCMat) agent-based model to explore the possible consequences to REE market dynamics of different types of regional supply disruptions including a temporary loss of production, shutdown of capacity, and diversion of supply. Results suggest that supply disruptions may foster earlier and more REE mine starts outside of China, although some of these mines may not be able to sustain operations post disruption. Further, price and associated market responses such as production, capacity, and demand tended to extend beyond the disruption period. Such market impacts in the magnet supply chain could affect the costs and availability of a number of emerging clean energy technology applications such as electric vehicles and wind turbines. In the future, GCMat could be used to evaluate the effectiveness of mitigation strategies — including recycling, conservation, product substitution, and diversification of supplies — on reducing the severity of disruptions in REE markets."
5617,"Field data often include multiple observations taken from the same individual. In order to avoid pseudoreplication, it is commonplace to aggregate data, generating a mean score per individual, and then using these aggregated data in subsequent analyses. Aggregation, however, can generate problems of its own. Not only does it lead to a loss of information, it can also leave analyses vulnerable to the ""ecological fallacy"": the drawing of false inferences about individual behavior on the basis of population level (""ecological"") data. It can also result in Simpson's paradox, where relationships seen at the individual level can be completely reversed when analyzed at the aggregate level. These phenomena have been documented widely in the medical and social sciences but tend to go unremarked in primatological studies that rely on observational data from the field. Here, we provide a conceptual guide that explains how and why aggregate data are vulnerable to the ecological fallacy and Simpson's paradox, illustrating these points using data on baboons. We then discuss one particular analytical approach, namely multi-level modeling, that can potentially eliminate these problems. By highlighting the issue of the ecological fallacy, and increasing awareness of how datasets are often organized into a number of different levels, we also highlight the manner in which researchers can more positively exploit the structure of their datasets, without any information loss. These analytical approaches may thus provide greater insight into behavior by permitting more thorough investigation of interactions and cross-level effects."
4025,"We present an Agent-Based Model (hereafter ABM) for a pharmaceutical supply chain operating under conditions of weak regulation and imperfect information, exploring the possibility of poor quality medicines and their detection. Our interest is to demonstrate how buyers can learn about the quality of sellers (and their medicines) based on previous successful and unsuccessful transactions, thereby establishing trust over time. Furthermore, this network of trust allows the system itself to evolve to positive outcomes (under some but not all circumstances) by eliminating sellers with low quality products. The ABM we develop assumes that rational and non-corrupt agents (wholesalers, retailers and consumers) learn from experience and adjust their behaviour accordingly. The system itself evolves over time: under some — but not all — circumstances, sellers with low-quality products are progressively eliminated. Three distinct states of the supply chain are observed depending on the importance of trust built up from past experience. The “dynamic” state is characterised by a low level of trust leading to a continually changing system with new drugs introduced and rejected with little regard to quality. The “frozen” state arises from high levels of reliance on past experience and locks the supply chain into a suboptimal state. The “optimising” state has moderate reliance on past experience and leads to the persistence of suppliers with good quality; however, the system is still “invadable” by better quality drugs. Simulation results show that the state reached by the system depends strongly on the precise way that trust is established: Excessive levels of trust make it impossible for new, improved treatments to be adopted. This highlights the critical need to understand better how personal experience influences consumer behaviour, especially where regulation is weak and for products like medicines whose quality is not readily observable."
2260,"African Swine Fever (ASF) is a highly lethal viral disease, which affects different species of wild and domestic suids. After its human-caused introduction in Georgia in 2007, the ASF virus has found a new ecological reservoir in the large and continuous wild boar (Sus scrofa) populations of Eurasia, spreading both eastward and westward. ASF has also breached into the intensive pork meat production system. Although the disease has no zoonotic potential, its consequences on wild boar populations and the economic losses for the pig industry have been dramatic. As no vaccine or effective medical treatment is available to reliably protect wild boar or domestic pigs against ASF, eradication efforts are mainly based on intensive wild boar hunting and on removing a significant portion of the infected wild boar carcasses, which are the main environmental virus reservoir. Both strategies have produced poor results, so far, and ASF is becoming endemic. We compared wild boar hunting and carcass removal as alternative and combined strategies for the eradication of ASF in its endemic state, using a spatially explicit individual-based model, which incorporated the demography and spatial dynamics of a wild boar population, the spatial epidemiology of ASF in its endemic phase, and a management system acting for the eradication of the disease from the population. When no eradication effort was simulated, ASF exhibited a clear and strong tendency to persist and remain endemic in the wild boar population. Both hunting and carcass removal, when used alone, provided either a low power to remove the virus from the population, or required unrealistic field effort. The best performing scenario corresponded to the combined use of a 30% annual hunting rate and of an intensive carcass removal, during a 2-month period in late winter (February-March). Eradicating ASF from wild boar populations remains a hard task. Managers should promote a drastic increase in the effort dedicated to systematically identify and remove as many infected wild boar carcasses as possible from the affected areas, with at least 5–15 carcasses removed for each 100 hunted wild boar."
1235,"When multiple agents are engaged in a network of conflict, some can advance their competitive positions by forming alliances with each other. However, the costs associated with establishing an alliance may outweigh the potential benefits. This study investigates costly alliance formation in the framework of coalitional Blotto games, in which two players compete separately against a common adversary and are able to collude by exchanging resources with one another. Previous work has shown that both players in the alliance can mutually benefit if one player unilaterally donates, or transfers, a portion of their budget to the other. In this letter, we consider a variation where the transfer of resources is inherently inefficient, meaning that the recipient of the transfer only receives a fraction of the donation. Our findings reveal that even in the presence of inefficiencies, mutually beneficial transfers are still possible. More formally, our main result provides necessary and sufficient conditions for the existence of such transfers, offering insights into the robustness of alliance formation in competitive environments with resource constraints."
7114,"This paper proposes an agent-based model which reproduces different structures of animal groups. The shape and structure of the group is the effect of simple interaction rules among individuals: each animal deploys itself depending on the position of a limited number of close group mates. The proposed model is shown to produce clustered formations, as well as lines and V-like formations. The key factors which trigger the onset of different patterns are argued to be the relative strength of attraction and repulsion forces and, most important, the anisotropy in their application."
7829,"Empirical analysis of the foreign exchange market is conducted based on methods to quantify similarities among multi-dimensional time series with spectral distances introduced in [A.-H. Sato, Physica A 382 (2007) 258-270]. As a result it is found that the similarities among currency pairs fluctuate with the rotation of the earth, and that the similarities among best quotation rates are associated with those among quotation frequencies. Furthermore, it is shown that the Jensen-Shannon spectral divergence is proportional to a mean of the Kullback-Leibler spectral distance both empirically and numerically. It is confirmed that these spectral distances are connected with distributions for behavioural parameters of the market participants from numerical simulation. This concludes that spectral distances of representative quantities of financial markets are related into diversification of behavioural parameters of the market participants."
7430,"To support stakeholders involved in infrastructure development, we develop evolutionary models of these complex systems, which is a formidable task with respect to data requirements, information representation and knowledge management. Re-addressing a case on bio-electricity infrastructure evolution, we demonstrate first a series of visualisations of economic and ecologic system parameters as they change during infrastructure development over simulated decades. This setup allows us to demonstrate to stakeholders a means to anticipate the consequences of decisions on (dis)investment of power generation options available. In developing these tools, our approach needed to be expanded to better handle the complexity of infrastructure systems, due to the multiple relevant social and technical contexts from which these systems need to be considered. The second part of this paper describes our work on enabling collaborative mapping of our knowledge of infrastructure systems to help integrate diverse types of knowledge. Current internet-enabled developments such as Web 2.0 and the Semantic Web offer tremendous scope to lower the transaction cost of gathering and assembling data. Already, these are changing the ways scientific collaboration is conducted. Finally, we suggest to connect this to evolutionary models to elucidate the dynamics of these systems. Copyright"
6413,"Most human interactions today take place with the mediation of information and communications tech- nology. This is extending the boundaries of interdependence: the group of reference, ideas and behaviour to which people are exposed is larger and less restricted to old geographical and cultural boundaries; but it is also providing more and better data with which to build more informative models on the effects of social interactions, amongst them, the way in which contagion and cascades diffuse in social networks. Online data are not only helping us gain deeper insights into the structural complexity of social systems, they are also illuminating the consequences of that complexity, especially around collective and temporal dynamics. This paper offers an overview of the models and applications that have been developed in what is still a nascent area of research, as well as an outline of immediate lines of work that promise to open new vistas in our understanding of cascading behaviour in social networks."
3524,"We study digital multisided platforms as complex adaptive business systems (CABS) where multiple sides have different and evolving objectives, preferences, and constraints. CABS are characterized by irreducible uncertainty, which cannot be reduced by the traditional approaches of collecting and processing data. Irreducible uncertainty in the system gives rise to a complex search matching problem between agents and value enhancing transactions. This paper presents a recommender systems-based approach for taming the complexity by allowing agents to coevolve and learn in the system. We propose a novel two-sided recommender system framework, which considers emergence on both sides of the platform and adapts to the changing environment to influence agents. An agent-based simulation model is developed based on popular internet-based educational platforms to study this complex system and test our hypotheses. Our results show the value of a two-sided recommender system to tame complex search matching in platforms. We discuss implications for information systems and complexity science research."
4290,"Honeybees construct nests that consist of regularly arrayed hexagonal cylinders. In the first stage of honeycomb construction, they build a linear sequence of tetrapod structures that form the basis of the comb. However, considering their physiological limitations, it is unknown how honeybees produce that initial pattern. Herein, in an attempt to understand the mechanisms of honeycomb construction, we propose an agent-based model, the attachment-excavation model, in which worker honeybees are classified into attachers who secrete and attach wax, and excavators who excise the attached wax. The model assumes that workers instinctively refrain from digging through the thin parts of a wax cluster. We then conduct two-dimensional (2D) simulations that show how a tripod pattern can be seen as a projection of tetrapods onto a plane. The simulation results show that the tripod pattern emerges due to competition between the attachers and excavators. As time advances, the isotropic wax growth causes the tripods to connect planarly. Because the homogeneously broadened structures do not match that of a natural comb, we employ anisotropic wax growth to obtain a linear sequence of constructed tripods, thus suggesting that anisotropy is a significant contributor to the first stage of honeycomb construction. From our simulation results, we conclude that honeybees utilize self-organization to achieve complexity during the first stage of honeycomb construction. It is anticipated that the results of our study will provide insights into how complexity can be achieved within a hierarchy."
5273,"The aquatic effect assessment of chemicals is largely based on standardized measures of toxicity determined in short-term laboratory tests which are designed to reduce variability. For this purpose, uniform individuals of a species are kept under environmental and chemical exposure conditions which are as constant as possible. In nature, exposure often appears to be pulsed, effects might last longer than a few days, sensitivity might vary among different sized organisms and populations are usually size or age structured and are subject to demographic processes. To overcome this discrepancy, we tested toxicokinetic-toxicodynamic models of different complexities, including body size scaling approaches, for their ability to represent lethal effects observed for Daphnia magna exposed to triphenyltin. The consequences of the different toxicokinetic and toxicodynamic assumptions for population level responses to pulsed exposure are tested by means of an individual based model and are evaluated by confronting model predictions with population data for various pulsed exposure scenarios. We provide an example where increased model complexity reduces the uncertainty in model outputs. Furthermore, our results emphasize the importance of considering population demography in toxicokinetics and toxicodynamics for understanding and predicting potential chemical impacts at higher levels of biological organization."
7659,"Recent studies have shown that many marine ecosystems are experiencing an accelerating loss of population and biodiversity. It is apparent that there is a growing disparity between the available supply of fish and the desire of the growing world population to catch them. Although studies have begun to question the ecological sustainability of managed fishery systems, they often omit the corresponding effects on the economic sustainability of fishery industries. This is particularly important in rural coastal areas where the fishing industry is often a dominant employer. In this article, we analyze the interactions between economic and ecological dynamic systems using a multi-agent dynamic model of fishery management. Multiple agents (fishers) harvest multiple fish species and adapt the amount and allocation of their effort to their value functions, which are given as net profits of the fish harvest sold for a market price. This is largely unique in fishery models, since many econometric studies view fishers as represented by homogenous 'average' agents. We introduce and compare two different decision rules governing the behavior of fishers engaged in a competitive market. We demonstrate a situation where both behaviors lead to a decline of all fish stocks, as well as profits for most fishers. As an alternative, we introduce a cooperative approach in which fisheries jointly set sustainable limits for total harvest and effort that are then distributed to the fishers according to distribution rules. The simulation reveals that fish stocks and profits can stabilize at significantly higher levels in the cooperative case, leading to a continuous accumulation of capital for all fishers. This model demonstrates key aspects of overfishing conflicts that can be overcome through planned fishing quotas and cooperative market mechanisms. It also demonstrates a novel approach for simulating the dynamic behavior of heterogeneous fishers."
